trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.25, 'e': 0.6440364210831414}",20,0,-113.69935200851569,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
45,False,"{'a': 0.25, 'e': 0.6376281516217733}",20,7,-6.4783434769065495,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.25, 'e': 0.631283645506926}",25,0,-53.9781329839126,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.25, 'e': 0.6250022682827008}",20,15,3.617493199283617,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.25, 'e': 0.6187833918061408}",25,2,-58.217787162068234,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 1}",1
49,False,"{'a': 0.25, 'e': 0.6126263941844161}",20,12,-5.9350006412803324,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.25, 'e': 0.6065306597126334}",20,8,-14.801168600219885,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.25, 'e': 0.6004955788122659}",25,0,-55.68771163006547,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.25, 'e': 0.5945205479701944}",20,0,-91.38550677079049,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
53,False,"{'a': 0.25, 'e': 0.5886049696783552}",25,9,-10.214342887021393,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.25, 'e': 0.5827482523739896}",30,0,-84.41757290256616,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
55,False,"{'a': 0.25, 'e': 0.5769498103804866}",20,0,-121.56915497112992,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
56,False,"{'a': 0.25, 'e': 0.5712090638488149}",20,5,-24.168714355859905,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.25, 'e': 0.5655254386995371}",20,11,-26.34373803636957,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.25, 'e': 0.559898366565402}",25,16,-14.213693136868194,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.25, 'e': 0.5543272847345071}",20,0,-18.527645834154857,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.25, 'e': 0.5488116360940265}",30,13,-90.29764398008855,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
61,False,"{'a': 0.25, 'e': 0.5433508690744998}",35,0,-196.3171967062859,"{0: 24, 1: 3, 2: 3, 3: 1, 4: 4}",0
62,False,"{'a': 0.25, 'e': 0.5379444375946745}",20,5,-30.776314246225155,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.25, 'e': 0.5325918010068972}",20,0,12.729089732190364,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.25, 'e': 0.5272924240430485}",20,0,-30.669349696523312,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.25, 'e': 0.522045776761016}",20,4,6.264791886181537,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.25, 'e': 0.5168513344916992}",25,14,-0.5497829576906186,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.25, 'e': 0.5117085777865424}",20,8,-72.44122713055333,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.25, 'e': 0.5066169923655895}",25,5,-61.63875274972125,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
69,False,"{'a': 0.25, 'e': 0.5015760690660555}",20,0,-136.63247209412592,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
70,False,"{'a': 0.25, 'e': 0.49658530379140947}",25,0,5.530294999289277,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.25, 'e': 0.4916441974609651}",20,7,-24.660003772709842,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.25, 'e': 0.4867522559599717}",20,2,-45.42616897777216,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
73,False,"{'a': 0.25, 'e': 0.48190899009020244}",20,10,-17.40237772301552,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.25, 'e': 0.4771139155210344}",20,0,-26.654607409588145,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
75,False,"{'a': 0.25, 'e': 0.4723665527410147}",25,7,-8.016585243870253,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.25, 'e': 0.46766642700990924}",20,5,17.40846242335595,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.25, 'e': 0.46301306831122807}",20,1,12.01656545805989,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.25, 'e': 0.4584060113052235}",30,17,-12.613533172922994,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.25, 'e': 0.45384479528235583}",20,14,0.5924778448206416,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.25, 'e': 0.44932896411722156}",20,10,-6.169574521305775,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.25, 'e': 0.4448580662229411}",20,16,11.041066992054883,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.25, 'e': 0.44043165450599925}",20,11,7.327740240133219,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.25, 'e': 0.43604928632153556}",25,0,-89.96309959140459,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
84,False,"{'a': 0.25, 'e': 0.43171052342907973}",35,23,8.26634253339029,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.25, 'e': 0.4274149319487267}",30,0,-15.755673428361483,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.25, 'e': 0.4231620823177488}",25,6,-26.470356835538638,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
87,False,"{'a': 0.25, 'e': 0.418951549247639}",25,0,-55.83037519153605,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
88,False,"{'a': 0.25, 'e': 0.4147829116815814}",20,2,-66.5496299558464,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
89,False,"{'a': 0.25, 'e': 0.4106557527523455}",25,4,14.306480758775056,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.25, 'e': 0.4065696597405991}",25,6,-35.13325267489869,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.25, 'e': 0.40252422403363597}",25,9,-66.7657556076881,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 1}",1
92,False,"{'a': 0.25, 'e': 0.39851904108451414}",25,18,-10.115828440462575,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.25, 'e': 0.3945537103716011}",25,17,-4.269236960275564,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.25, 'e': 0.3906278353585211}",20,5,-8.843327855575101,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.25, 'e': 0.3867410234545012}",25,5,17.35797405625663,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.25, 'e': 0.38289288597511206}",20,0,-5.308757829002257,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.25, 'e': 0.37908303810339883}",20,8,11.0545612610232,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.25, 'e': 0.37531109885139957}",20,12,-12.246610170252321,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.25, 'e': 0.3715766910220457}",30,7,-49.73196844605115,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 1}",1
100,False,"{'a': 0.25, 'e': 0.36787944117144233}",20,14,11.640745387431553,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.25, 'e': 0.3642189795715233}",20,6,1.4533570790687858,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.25, 'e': 0.3605949401730783}",20,0,-20.22667454360782,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
103,False,"{'a': 0.25, 'e': 0.3570069605691474}",25,11,-44.12605799672076,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.25, 'e': 0.35345468195878016}",30,0,-15.348119541831467,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.25, 'e': 0.3499377491111553}",20,16,7.141117745370806,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.25, 'e': 0.3464558103300574}",25,7,10.016213745166592,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.25, 'e': 0.34300851741870664}",20,5,17.0203071082963,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.25, 'e': 0.3395955256449391}",25,4,-3.3922290931304895,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.25, 'e': 0.3362164937067333}",20,16,5.830345652003317,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.25, 'e': 0.33287108369807955}",20,0,-25.759478627741583,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.25, 'e': 0.32955896107518906}",25,8,-23.170766389427076,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.25, 'e': 0.32627979462303947}",20,11,17.449163199469922,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.25, 'e': 0.3230332564222529}",20,0,-38.58510657662795,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.25, 'e': 0.31981902181630384}",20,0,-23.71201348677286,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
115,False,"{'a': 0.25, 'e': 0.31663676937905316}",25,6,-83.70301519228559,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
116,False,"{'a': 0.25, 'e': 0.3134861808826053}",25,7,-76.74671398169146,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
117,False,"{'a': 0.25, 'e': 0.31036694126548503}",25,15,-23.001506886512836,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
118,False,"{'a': 0.25, 'e': 0.30727873860113125}",25,12,-31.357514097816725,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.25, 'e': 0.3042212640667041}",20,0,-58.71334682906306,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.25, 'e': 0.30119421191220214}",20,10,-10.791350812344998,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.25, 'e': 0.2981972794298874}",25,15,17.875934663557917,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.25, 'e': 0.2952301669240142}",20,6,-40.149377866420664,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
123,False,"{'a': 0.25, 'e': 0.2922925776808594}",20,11,16.032722274985822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.25, 'e': 0.2893842179390506}",25,12,7.564114273102219,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.25, 'e': 0.2865047968601901}",25,11,-29.259612003060962,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.25, 'e': 0.2836540264997704}",20,6,14.07954279902334,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.25, 'e': 0.2808316217783798}",20,3,-21.379865320751257,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.25, 'e': 0.27803730045319414}",30,20,6.466960763523928,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.25, 'e': 0.27527078308975234}",25,14,-3.30813259467208,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.25, 'e': 0.2725317930340126}",30,0,14.492896877859087,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.25, 'e': 0.2698200563846868}",30,18,22.159664808472495,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.25, 'e': 0.26713530196585034}",20,5,21.035916378265327,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.25, 'e': 0.26447726129982396}",25,7,18.888849672851407,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.25, 'e': 0.261845668580326}",20,8,18.445334882202,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.25, 'e': 0.2592402606458915}",20,10,17.873265702191723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.25, 'e': 0.2566607769535559}",20,15,8.975991328263383,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.25, 'e': 0.25410695955280027}",30,19,9.020428090989377,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.25, 'e': 0.25157855305975646}",25,8,15.330057880194259,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.25, 'e': 0.24907530463166816}",20,16,7.429721730325651,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.25, 'e': 0.24659696394160643}",20,9,18.425819872246052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.25, 'e': 0.2441432831534371}",35,14,-12.124567156978332,"{0: 16, 1: 4, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.25, 'e': 0.24171401689703645}",20,12,14.986798402493067,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.25, 'e': 0.23930892224375455}",20,8,17.878845011979173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.25, 'e': 0.23692775868212176}",20,12,4.8325918948314515,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.25, 'e': 0.23457028809379765}",35,25,20.008020141922636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.25, 'e': 0.23223627472975883}",25,5,-3.864809416202796,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.25, 'e': 0.22992548518672384}",20,8,24.202425016848604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.25, 'e': 0.22763768838381274}",25,15,18.163512573402294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.25, 'e': 0.22537265553943872}",25,13,12.271479507907987,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.25, 'e': 0.22313016014842982}",20,9,-11.286667697606608,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.25, 'e': 0.2209099779593782}",30,22,15.09965085487383,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.25, 'e': 0.21871188695221475}",25,16,-3.376970768555223,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.25, 'e': 0.21653566731600707}",20,0,-7.815321487145106,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
154,False,"{'a': 0.25, 'e': 0.21438110142697794}",20,15,2.9366519268720155,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.25, 'e': 0.21224797382674304}",25,18,10.477741451943366,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.25, 'e': 0.21013607120076472}",25,7,31.251969698061977,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.25, 'e': 0.20804518235702046}",25,18,8.840790381287265,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.25, 'e': 0.20597509820488344}",20,9,18.605161747782784,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.25, 'e': 0.20392561173421342}",20,14,12.186512907609423,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.25, 'e': 0.20189651799465538}",20,7,-73.48663530092267,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
161,False,"{'a': 0.25, 'e': 0.1998876140751445}",25,6,9.706542129615531,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.25, 'e': 0.19789869908361465}",25,17,-10.808346690045557,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.25, 'e': 0.19592957412690934}",35,19,7.463963064943294,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.25, 'e': 0.19398004229089189}",20,8,20.151996581703074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.25, 'e': 0.19204990862075408}",25,13,8.895437122657341,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.25, 'e': 0.1901389801015205}",30,13,5.654848198468479,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.25, 'e': 0.1882470656387468}",30,20,14.566026987883925,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.25, 'e': 0.18637397603940997}",20,16,8.836317761797002,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.25, 'e': 0.18451952399298926}",25,8,0.749349129723798,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.25, 'e': 0.18268352405273466}",20,12,13.934663684344116,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.25, 'e': 0.1808657926171221}",20,9,19.586747677899016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.25, 'e': 0.17906614791149322}",20,16,7.5896474339181985,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.25, 'e': 0.17728440996987782}",20,11,15.56831541932293,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.25, 'e': 0.17552040061699686}",20,14,12.851398375831181,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.25, 'e': 0.17377394345044514}",20,10,13.251460019421382,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.25, 'e': 0.17204486382305054}",35,24,20.637380272184775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.25, 'e': 0.17033298882540943}",30,18,25.087708541318516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.25, 'e': 0.1686381472685955}",20,13,15.004951105762208,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
